state,election_year,month_of_election,winning_party,previous_ruling_party,incumbent_won,notes
Madhya Pradesh,1993,November,INC,BJP/President's Rule,No,Congress won 174/320 seats; Digvijaya Singh CM; BJP govt dismissed after Babri demolition 1992
Meghalaya,1993,February,INC,INC,Yes,NA
Mizoram,1993,November,INC,INC,Yes,Lalthanhawla re-elected
Nagaland,1993,February,INC,INC,Yes,S.C. Jamir CM
Rajasthan,1993,November,INC,BJP,No,Ashok Gehlot CM; anti-incumbency pattern starts
Tripura,1993,February,INC-TUJS,CPI(M)-led LF,No,NA
Uttar Pradesh,1993,November,SP-BSP,BJP/President's Rule,No,Mulayam Singh Yadav CM; SP-BSP coalition (broke up 1995)
Delhi,1993,November,BJP,President's Rule/INC,No,Madan Lal Khurana CM; first election since 1983
Andhra Pradesh,1994,December,TDP,INC,No,NTR returned; later replaced by Chandrababu Naidu (internal coup 1995)
Goa,1994,October,INC,INC,Yes,Unstable government; multiple CM changes
Karnataka,1994,December,Janata Dal,INC,No,H.D. Deve Gowda CM; later J.H. Patel
Sikkim,1994,November,SDF,SSP,No,Pawan Kumar Chamling CM; Sikkim Democratic Front
Arunachal Pradesh,1995,October,INC,INC,Yes,NA
Bihar,1995,March,Janata Dal,Janata Dal,Yes,Lalu re-elected; later Rabri Devi became CM (1997)
Gujarat,1995,March,BJP,Janata Dal/INC,No,BJP first majority in Gujarat; Keshubhai Patel CM
Maharashtra,1995,March,Shiv Sena-BJP,INC,No,Manohar Joshi CM; first non-Congress govt
Manipur,1995,February,INC,INC,Yes,Rishang Keishing then W. Nipamacha Singh CM
Odisha,1995,February,INC,Janata Dal,No,J.B. Patnaik CM again
Assam,1996,May,AGP,INC,No,AGP returned with Left support; Prafulla Mahanta CM
Haryana,1996,May,HVP-BJP,INC,No,Bansi Lal CM (HVP); alliance with BJP
Jammu & Kashmir,1996,September,NC,President's Rule,No,First election after insurgency; Farooq Abdullah CM; President's Rule since 1990
Kerala,1996,May,CPI(M)-led LDF,INC-led UDF,No,E.K. Nayanar CM; alternation continues
Tamil Nadu,1996,May,DMK,AIADMK,No,Karunanidhi CM; anti-Jayalalithaa wave
Uttar Pradesh,1996,October,BJP,BSP/President's Rule,No,"Hung assembly; multiple govts: BJP, BSP-Congress; President's Rule"
West Bengal,1996,May,CPI(M)-led LF,CPI(M)-led LF,Yes,Jyoti Basu CM
Puducherry,1996,May,DMK-TMC,INC,No,NA
Punjab,1997,February,SAD-BJP,INC,No,Parkash Singh Badal CM
Gujarat,1998,March,BJP,BJP,Yes,BJP returned; Keshubhai Patel CM
Himachal Pradesh,1998,March,BJP,INC,No,Prem Kumar Dhumal CM
Madhya Pradesh,1998,November,INC,INC,Yes,Digvijaya Singh re-elected for second term
Meghalaya,1998,February,INC,INC,Yes,NA
Mizoram,1998,November,MNF,INC,No,Zoramthanga CM
Nagaland,1998,February,INC,INC,Yes,S.C. Jamir CM
Rajasthan,1998,November,BJP,INC,No,Bhairon Singh Shekhawat CM; anti-incumbency pattern continues
Tripura,1998,February,CPI(M)-led LF,INC,No,Manik Sarkar CM
Delhi,1998,November,INC,BJP,No,Sheila Dikshit CM
Andhra Pradesh,1999,October,TDP,TDP,Yes,TDP-BJP alliance; Chandrababu Naidu retained power
Arunachal Pradesh,1999,October,INC,INC,Yes,NA
Goa,1999,June,BJP,INC,No,Manohar Parrikar first BJP CM in Goa
Karnataka,1999,October,INC,Janata Dal,No,S.M. Krishna CM
Maharashtra,1999,October,INC-NCP,Shiv Sena-BJP,No,Vilasrao Deshmukh CM; Congress-NCP alliance
Sikkim,1999,October,SDF,SDF,Yes,Chamling re-elected
Bihar,2000,February,RJD-led coalition,RJD,Yes,Rabri Devi continued; hung assembly; state bifurcated (Jharkhand Nov 2000)
Haryana,2000,February,INLD-BJP,HVP-BJP,No,Om Prakash Chautala CM; INLD-BJP alliance
Manipur,2000,February,INC coalition,INC,Yes,NA
Odisha,2000,February,BJD-BJP,INC,No,Naveen Patnaik CM; Biju Janata Dal formed 1997
Assam,2001,May,INC,AGP,No,Tarun Gogoi led Congress to victory
Kerala,2001,May,INC-led UDF,CPI(M)-led LDF,No,A.K. Antony then Oommen Chandy CM
Tamil Nadu,2001,May,AIADMK,DMK,No,Jayalalithaa CM; alternation continues
West Bengal,2001,May,CPI(M)-led LF,CPI(M)-led LF,Yes,Buddhadeb Bhattacharjee CM; Jyoti Basu retired
Puducherry,2001,May,INC,DMK-led coalition,No,NA
Goa,2002,June,BJP,BJP,Yes,Early election; Parrikar returned
Gujarat,2002,December,BJP,BJP,Yes,Post-Godhra; Narendra Modi wave; BJP won 127/182
Jammu & Kashmir,2002,October,PDP-INC,NC,No,Mufti Mohammad Sayeed CM (PDP-Congress coalition)
Manipur,2002,February,INC,INC,Yes,Ibobi Singh CM; mid-term election
Punjab,2002,February,INC,SAD-BJP,No,Amarinder Singh CM
Uttar Pradesh,2002,February,BSP-BJP,BSP/BJP coalition,No,Mayawati CM; BSP-BJP coalition
Uttarakhand,2002,February,INC,N/A (new state),No,First election of new state; N.D. Tiwari (INC) CM
Chhattisgarh,2003,December,BJP,INC,No,First full election as new state; Raman Singh CM
Himachal Pradesh,2003,February,INC,BJP,No,Virbhadra Singh returned again
Madhya Pradesh,2003,December,BJP,INC,No,Uma Bharti then Babulal Gaur then Shivraj Singh Chouhan CM
Meghalaya,2003,February,INC,INC,Yes,D.D. Lapang CM
Mizoram,2003,November,MNF,MNF,Yes,Zoramthanga re-elected
Nagaland,2003,February,NPF (DAN),INC,No,Neiphiu Rio CM; Democratic Alliance of Nagaland
Rajasthan,2003,December,INC,BJP,No,Ashok Gehlot CM; Rajasthan alternates every election
Tripura,2003,February,CPI(M)-led LF,CPI(M)-led LF,Yes,Manik Sarkar re-elected
Delhi,2003,December,INC,INC,Yes,Sheila Dikshit re-elected
Andhra Pradesh,2004,April,INC,TDP,No,YSR Reddy led Congress to victory
Arunachal Pradesh,2004,October,INC,INC,Yes,NA
Karnataka,2004,May,INC-JD(S),INC,Yes,Congress largest party but coalition with JD(S); Dharam Singh CM
Maharashtra,2004,October,INC-NCP,INC-NCP,Yes,Vilasrao Deshmukh CM; alliance continued
Odisha,2004,April,BJD-BJP,BJD-BJP,Yes,Naveen Patnaik re-elected
Sikkim,2004,April,SDF,SDF,Yes,Chamling third term
Bihar,2005,February,Hung Assembly,RJD,No,No party majority; President's Rule imposed; re-election in October
Bihar,2005,October,JD(U)-BJP,President's Rule,No,Nitish Kumar became CM; NDA won decisively; mid-term election
Haryana,2005,February,INC,INLD-BJP,No,Bhupinder Singh Hooda CM
Jharkhand,2005,February,BJP-led coalition,JMM-led coalition,No,Arjun Munda/Shibu Soren alternated; unstable governments
Assam,2006,April,INC,INC,Yes,Tarun Gogoi second term
Kerala,2006,May,CPI(M)-led LDF,INC-led UDF,No,V.S. Achuthanandan CM
Tamil Nadu,2006,May,DMK,AIADMK,No,Karunanidhi CM
West Bengal,2006,May,CPI(M)-led LF,CPI(M)-led LF,Yes,Buddhadeb Bhattacharjee re-elected
Puducherry,2006,May,INC,INC,Yes,NA
Goa,2007,June,INC,BJP,No,Digambar Kamat CM
Gujarat,2007,December,BJP,BJP,Yes,Modi re-elected; BJP 117 seats
Himachal Pradesh,2007,November,BJP,INC,No,Prem Kumar Dhumal CM
Manipur,2007,February,INC,INC,Yes,Ibobi Singh re-elected
Punjab,2007,February,SAD-BJP,INC,No,Parkash Singh Badal CM; alternation pattern
Uttar Pradesh,2007,May,BSP,SP,No,Mayawati CM; BSP won solo majority - historic
Uttarakhand,2007,February,BJP,INC,No,BJP largest party (35/70); B.C. Khanduri CM with UKD and independent support
Chhattisgarh,2008,November,BJP,BJP,Yes,Raman Singh re-elected
Jammu & Kashmir,2008,December,NC-INC,PDP-INC,No,Omar Abdullah CM; NC-Congress coalition
Karnataka,2008,May,BJP,INC-JD(S),No,Yeddyurappa CM; first BJP govt in South India
Madhya Pradesh,2008,November,BJP,BJP,Yes,Shivraj Singh Chouhan re-elected
Meghalaya,2008,February,INC,INC,Yes,D.D. Lapang then Mukul Sangma CM
Mizoram,2008,December,INC,MNF,No,Lalthanhawla CM
Nagaland,2008,March,NPF (DAN),NPF,Yes,Neiphiu Rio re-elected
Rajasthan,2008,December,BJP,INC,No,Vasundhara Raje CM
Tripura,2008,February,CPI(M)-led LF,CPI(M)-led LF,Yes,Manik Sarkar third term
Delhi,2008,December,INC,INC,Yes,Sheila Dikshit third term
Andhra Pradesh,2009,April,INC,INC,Yes,YSR Reddy re-elected; died in helicopter crash Aug 2009
Arunachal Pradesh,2009,October,INC,INC,Yes,NA
Haryana,2009,October,INC,INC,Yes,Hooda re-elected
Jharkhand,2009,December,BJP-led coalition,JMM-led coalition,No,Hung assembly; Shibu Soren then Arjun Munda CM
Maharashtra,2009,October,INC-NCP,INC-NCP,Yes,Ashok Chavan then Prithviraj Chavan CM
Odisha,2009,April,BJD,BJD-BJP,Yes,Naveen Patnaik won without BJP; solo majority
Sikkim,2009,April,SDF,SDF,Yes,Chamling fourth term; won all 32 seats
Bihar,2010,November,JD(U)-BJP,JD(U)-BJP,Yes,Nitish Kumar re-elected with massive majority
Assam,2011,April,INC,INC,Yes,Tarun Gogoi third consecutive term
Kerala,2011,April,INC-led UDF,CPI(M)-led LDF,No,Oommen Chandy CM; Kerala never re-elects incumbents
Tamil Nadu,2011,April,AIADMK,DMK,No,Jayalalithaa CM; TN alternates every election
West Bengal,2011,May,AITC-INC,CPI(M)-led LF,No,Mamata Banerjee CM; ended 34 years of Left rule
Puducherry,2011,April,AINRC-AIADMK,INC,No,N. Rangasamy CM; AINRC new party
Goa,2012,March,BJP,INC,No,Manohar Parrikar returned as CM
Gujarat,2012,December,BJP,BJP,Yes,Modi third term; BJP 115 seats
Himachal Pradesh,2012,November,INC,BJP,No,Virbhadra Singh CM; HP alternates between INC and BJP
Manipur,2012,January,INC,INC,Yes,Ibobi Singh third term
Punjab,2012,January,SAD-BJP,SAD-BJP,Yes,Parkash Singh Badal re-elected; rare incumbent win in Punjab
Uttar Pradesh,2012,March,SP,BSP,No,Akhilesh Yadav CM
Uttarakhand,2012,January,INC,BJP,No,Vijay Bahuguna CM; anti-incumbency against BJP
Chhattisgarh,2013,November,BJP,BJP,Yes,Raman Singh third term
Karnataka,2013,May,INC,BJP,No,Siddaramaiah CM
Madhya Pradesh,2013,November,BJP,BJP,Yes,Shivraj Singh Chouhan third term
Meghalaya,2013,February,INC,INC,Yes,Mukul Sangma CM
Mizoram,2013,November,INC,INC,Yes,Lalthanhawla re-elected
Nagaland,2013,February,NPF,NPF,Yes,Neiphiu Rio then T.R. Zeliang CM
Rajasthan,2013,December,BJP,INC,No,Vasundhara Raje CM; Rajasthan anti-incumbency pattern continues
Tripura,2013,February,CPI(M)-led LF,CPI(M)-led LF,Yes,Manik Sarkar fourth term
Delhi,2013,December,"BJP (largest), AAP formed govt",INC,No,Hung assembly; Arvind Kejriwal CM briefly (AAP minority govt); then President's Rule
Andhra Pradesh,2014,May,TDP,INC,No,Post-bifurcation (Telangana carved out); TDP-BJP alliance
Arunachal Pradesh,2014,April,INC,INC,Yes,Mass defection to BJP followed in 2016
Haryana,2014,October,BJP,INC,No,Manohar Lal Khattar CM; first BJP majority in Haryana
Jammu & Kashmir,2014,December,PDP-BJP,NC-INC,No,Mufti Sayeed CM; unprecedented PDP-BJP alliance
Jharkhand,2014,December,BJP,President's Rule/JMM,No,Raghubar Das CM; first majority govt in Jharkhand
Maharashtra,2014,October,BJP,INC-NCP,No,Devendra Fadnavis CM; Shiv Sena joined later
Odisha,2014,April,BJD,BJD,Yes,Naveen Patnaik fourth term
Sikkim,2014,April,SDF,SDF,Yes,Chamling fifth term; longest-serving CM
Telangana,2014,April,TRS,N/A (new state),No,K. Chandrasekhar Rao CM; first election of new state carved from AP
Bihar,2015,November,Grand Alliance (RJD-JD(U)-INC),JD(U)-BJP,No,Nitish Kumar CM but under new alliance with RJD and Congress
Delhi,2015,February,AAP,President's Rule/AAP,Yes,Kejriwal CM; AAP won 67/70 seats
